platform,genre,number_players,rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score,Media_usuario,Media_meta
1,38,13,5,0,5,3,9,4,6,50,62,70.26510067114094,73.19127516778524
1,45,35,6,0,8,6,5,4,12,50,47,67.4431554524362,71.97679814385151
1,38,35,5,1,6,6,1,8,8,49,36,70.26510067114094,73.19127516778524
1,3,0,6,1,11,7,3,3,7,49,64,67.53865979381443,71.60309278350516
0,44,10,1,0,11,7,1,5,0,49,53,59.140969162995596,72.21585903083701
1,45,35,6,1,5,3,1,1,3,49,55,67.4431554524362,71.97679814385151
0,35,35,1,1,14,15,0,1,2,49,48,67.04629629629629,73.27777777777777
0,14,35,3,1,7,5,2,4,4,48,49,65.53086419753086,70.22222222222223
1,45,35,4,1,2,4,4,2,0,48,65,67.4431554524362,71.97679814385151
1,45,4,5,1,14,14,27,10,119,47,30,67.4431554524362,71.97679814385151
1,3,35,6,0,3,4,1,2,6,45,51,67.53865979381443,71.60309278350516
1,45,35,5,1,6,7,42,7,44,44,46,67.4431554524362,71.97679814385151
0,3,35,2,0,7,11,2,0,0,44,53,67.53865979381443,71.60309278350516
1,3,35,2,0,3,9,1,0,3,43,44,67.53865979381443,71.60309278350516
1,2,35,5,1,1,10,8,0,8,43,46,66.5807150595883,71.39869989165764
1,2,14,6,0,2,5,2,2,7,43,49,66.5807150595883,71.39869989165764
0,28,35,1,0,4,7,3,1,0,43,58,69.51773049645391,71.83333333333333
0,14,35,2,2,13,22,0,1,6,43,43,65.53086419753086,70.22222222222223
1,38,14,5,0,3,7,0,0,33,41,19,70.26510067114094,73.19127516778524
1,2,35,5,0,2,7,2,0,9,38,32,66.5807150595883,71.39869989165764
0,2,35,2,0,1,6,2,2,1,37,58,66.5807150595883,71.39869989165764
1,2,35,3,0,2,10,3,1,6,34,27,66.5807150595883,71.39869989165764
1,2,35,6,0,2,9,0,1,0,31,40,66.5807150595883,71.39869989165764
0,2,0,2,0,0,13,0,1,3,30,33,66.5807150595883,71.39869989165764
1,18,35,6,0,1,19,13,12,40,24,30,64.6923076923077,70.6923076923077
1,14,35,6,0,2,20,12,6,69,23,32,65.53086419753086,70.22222222222223
4,38,27,3,61,0,0,237,7,4,93,85,70.26510067114094,73.19127516778524
1,3,14,3,29,0,0,470,129,53,91,84,67.53865979381443,71.60309278350516
1,2,14,3,14,0,0,124,12,13,91,80,66.5807150595883,71.39869989165764
1,21,13,5,68,1,0,649,134,152,90,81,69.22543352601156,73.82658959537572
1,12,14,6,14,0,0,329,40,40,89,87,87.0,89.0
1,28,35,3,20,1,0,52,10,6,89,88,69.51773049645391,71.83333333333333
1,2,26,3,37,1,0,400,90,58,89,82,66.5807150595883,71.39869989165764
1,45,14,3,56,1,0,362,118,88,89,82,67.4431554524362,71.97679814385151
1,38,26,3,23,0,0,641,334,1038,89,58,70.26510067114094,73.19127516778524
0,28,1,1,15,0,0,11,0,0,89,78,69.51773049645391,71.83333333333333
0,5,14,3,14,1,0,40,4,5,88,88,67.22970297029703,71.65544554455445
1,2,26,3,42,1,0,465,116,87,88,83,66.5807150595883,71.39869989165764
4,3,35,2,54,0,0,52,2,1,88,84,67.53865979381443,71.60309278350516
1,38,15,6,66,1,0,423,49,23,88,85,70.26510067114094,73.19127516778524
1,5,35,6,10,0,0,20,14,35,88,50,67.22970297029703,71.65544554455445
1,38,26,3,81,4,1,1178,506,2998,88,41,70.26510067114094,73.19127516778524
4,2,26,1,70,1,0,60,4,2,88,86,66.5807150595883,71.39869989165764
1,2,35,3,28,2,0,277,109,135,87,77,66.5807150595883,71.39869989165764
1,2,35,3,13,1,0,6,0,2,87,71,66.5807150595883,71.39869989165764
1,45,35,5,44,1,0,44,8,4,86,85,67.4431554524362,71.97679814385151
1,44,35,6,35,2,0,19,10,19,86,68,59.140969162995596,72.21585903083701
1,2,15,6,9,0,0,98,6,3,86,89,66.5807150595883,71.39869989165764
1,44,35,1,7,0,0,17,9,19,86,66,59.140969162995596,72.21585903083701
1,2,35,5,29,1,0,146,13,23,86,78,66.5807150595883,71.39869989165764
1,2,14,2,11,0,0,52,4,5,86,84,66.5807150595883,71.39869989165764
0,28,35,1,30,2,0,4,0,0,86,83,69.51773049645391,71.83333333333333
4,2,35,2,30,0,0,30,3,0,86,83,66.5807150595883,71.39869989165764
5,4,26,3,32,1,0,18,3,4,85,76,74.72,82.12
5,3,32,3,25,1,0,27,10,2,85,72,67.53865979381443,71.60309278350516
1,2,35,3,48,2,1,214,32,18,85,86,66.5807150595883,71.39869989165764
1,44,35,6,7,1,0,40,0,2,85,78,59.140969162995596,72.21585903083701
1,38,15,3,36,5,1,371,61,153,85,76,70.26510067114094,73.19127516778524
5,44,0,1,16,1,0,6,1,0,85,71,59.140969162995596,72.21585903083701
4,2,35,3,15,1,0,4,6,0,85,72,66.5807150595883,71.39869989165764
1,28,35,3,22,2,0,13,7,6,85,84,69.51773049645391,71.83333333333333
